City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Clyde River,CA,2022-07-22 03:17:41,70.4692,-68.5914,37.63,100,100,5.75,light rain
1,Qaanaaq,GL,2022-07-22 03:17:41,77.484,-69.3632,44.4,97,100,6.91,moderate rain
2,East London,ZA,2022-07-22 03:17:42,-33.0153,27.9116,54.54,87,0,6.91,clear sky
3,Dicabisagan,PH,2022-07-22 03:17:42,17.0818,122.4157,88.41,66,7,5.46,clear sky
4,Black River,JM,2022-07-22 03:17:43,18.0264,-77.8487,79.57,78,7,4.76,clear sky
5,Cape Town,ZA,2022-07-22 03:17:07,-33.9258,18.4232,52.12,90,0,2.3,clear sky
6,Belorechensk,RU,2022-07-22 03:17:43,44.76,39.87,61.97,85,88,5.64,overcast clouds
7,Hithadhoo,MV,2022-07-22 03:17:43,-0.6,73.0833,77.94,87,100,13.53,light rain
8,Sobradinho,BR,2022-07-22 03:17:44,-12.8333,-39.1,65.23,99,66,3.42,broken clouds
9,Verkh-Usugli,RU,2022-07-22 03:17:44,52.7,115.1667,79.38,45,53,5.97,broken clouds
10,Seoul,KR,2022-07-22 03:15:11,37.5683,126.9778,83.77,65,75,5.75,broken clouds
11,Kijang,KR,2022-07-22 03:17:45,35.2442,129.2139,87.53,70,38,3.98,scattered clouds
12,Nikolskoye,RU,2022-07-22 03:17:45,59.7035,30.7861,62.8,88,12,3.29,few clouds
13,Hobart,AU,2022-07-22 03:17:46,-42.8794,147.3294,57.06,64,20,12.66,few clouds
14,Albany,US,2022-07-22 03:17:25,42.6001,-73.9662,75.58,74,0,4.29,clear sky
15,Ushuaia,AR,2022-07-22 03:13:29,-54.8,-68.3,31.66,93,75,28.77,snow
16,Chuy,UY,2022-07-22 03:17:47,-33.6971,-53.4616,50.9,92,99,4.43,overcast clouds
17,Katsuura,JP,2022-07-22 03:17:47,35.1333,140.3,82.42,88,45,17.56,scattered clouds
18,Kualakapuas,ID,2022-07-22 03:17:47,-3.0091,114.3876,86.52,67,98,4.18,overcast clouds
19,Faanui,PF,2022-07-22 03:17:48,-16.4833,-151.75,77.34,73,16,10.63,few clouds
20,Neiafu,TO,2022-07-22 03:17:48,-18.65,-173.9833,77.18,75,15,10.45,few clouds
21,New Norfolk,AU,2022-07-22 03:17:48,-42.7826,147.0587,56.7,75,3,4.68,clear sky
22,Basoko,CD,2022-07-22 03:17:49,1.2391,23.616,71.02,96,100,2.28,moderate rain
23,Hamilton,US,2022-07-22 03:15:00,39.1834,-84.5333,78.75,76,0,6.91,clear sky
24,Husavik,IS,2022-07-22 03:17:49,66.0449,-17.3389,47.5,90,58,3.31,broken clouds
25,Saskylakh,RU,2022-07-22 03:17:50,71.9167,114.0833,55.45,59,100,8.21,overcast clouds
26,Kodiak,US,2022-07-22 03:17:50,57.79,-152.4072,54.91,76,100,0.0,overcast clouds
27,Alofi,NU,2022-07-22 03:17:51,-19.0595,-169.9187,80.49,65,40,11.5,scattered clouds
28,Rikitea,PF,2022-07-22 03:17:46,-23.1203,-134.9692,74.44,81,99,24.94,light rain
29,Puerto Ayora,EC,2022-07-22 03:17:51,-0.7393,-90.3518,67.55,98,58,1.99,broken clouds
30,Nouadhibou,MR,2022-07-22 03:17:52,20.931,-17.0347,75.18,88,5,3.44,clear sky
31,Bethel,US,2022-07-22 03:17:52,41.3712,-73.414,80.06,82,31,1.01,scattered clouds
32,Kapaa,US,2022-07-22 03:17:53,22.0752,-159.319,85.98,72,75,16.11,broken clouds
33,Codrington,AU,2022-07-22 03:17:53,-38.2667,141.9667,59.47,66,100,14.99,light rain
34,Pochutla,MX,2022-07-22 03:17:54,15.7432,-96.4661,78.82,92,100,3.67,overcast clouds
35,Odweyne,SO,2022-07-22 03:17:54,9.4092,45.064,69.91,53,48,19.15,scattered clouds
36,Airai,TL,2022-07-22 03:17:54,-8.9266,125.4092,70.56,37,43,4.23,scattered clouds
37,Kailua,US,2022-07-22 03:17:55,21.4022,-157.7394,87.78,69,40,11.5,scattered clouds
38,Numan,NG,2022-07-22 03:17:55,9.4667,12.0333,72.64,94,84,7.31,light rain
39,Busselton,AU,2022-07-22 03:17:56,-33.65,115.3333,61.3,80,97,10.18,overcast clouds
40,Hambantota,LK,2022-07-22 03:17:56,6.1241,81.1185,80.92,77,100,18.01,overcast clouds
41,Amga,RU,2022-07-22 03:17:56,60.8953,131.9608,82.2,48,46,3.09,scattered clouds
42,Fortuna,US,2022-07-22 03:17:57,40.5982,-124.1573,62.1,80,42,3.0,scattered clouds
43,Esperance,AU,2022-07-22 03:17:57,-33.8667,121.9,59.43,74,43,19.39,scattered clouds
44,Yellowknife,CA,2022-07-22 03:13:35,62.456,-114.3525,57.6,67,88,4.12,overcast clouds
45,Bambous Virieux,MU,2022-07-22 03:17:58,-20.3428,57.7575,69.22,71,78,17.11,light rain
46,Alamosa,US,2022-07-22 03:17:58,37.4695,-105.87,71.58,40,0,9.22,clear sky
47,Port Alfred,ZA,2022-07-22 03:17:59,-33.5906,26.891,56.35,81,23,9.98,few clouds
48,Limbang,MY,2022-07-22 03:17:59,4.75,115.0,89.71,58,100,1.32,overcast clouds
49,Tamworth,GB,2022-07-22 03:17:59,52.634,-1.6959,62.65,83,100,5.01,overcast clouds
50,Avarua,CK,2022-07-22 03:13:37,-21.2078,-159.775,77.05,69,20,18.41,few clouds
51,Mataura,NZ,2022-07-22 03:18:00,-46.1927,168.8643,44.47,90,100,3.15,overcast clouds
52,Kirakira,SB,2022-07-22 03:18:01,-10.4544,161.9205,84.31,70,100,5.46,overcast clouds
53,Narsaq,GL,2022-07-22 03:18:01,60.9167,-46.05,50.22,78,6,4.14,clear sky
54,Mar Del Plata,AR,2022-07-22 03:14:26,-38.0023,-57.5575,49.08,72,0,9.22,clear sky
55,Aklavik,CA,2022-07-22 03:18:01,68.2191,-135.0107,70.5,45,84,11.07,broken clouds
56,Severo-Kurilsk,RU,2022-07-22 03:18:02,50.6789,156.125,52.92,95,100,23.09,heavy intensity rain
57,Bilma,NE,2022-07-22 03:18:02,18.6853,12.9164,88.38,34,77,7.11,broken clouds
58,Westport,US,2022-07-22 03:16:58,41.1415,-73.3579,85.08,91,0,5.75,clear sky
59,Tuktoyaktuk,CA,2022-07-22 03:18:03,69.4541,-133.0374,59.0,82,75,10.36,broken clouds
60,Tiksi,RU,2022-07-22 03:18:03,71.6872,128.8694,46.18,75,60,7.25,broken clouds
61,Walvis Bay,NA,2022-07-22 03:18:04,-22.9575,14.5053,56.35,47,0,4.61,clear sky
62,Denpasar,ID,2022-07-22 03:16:12,-8.65,115.2167,82.06,78,40,13.8,scattered clouds
63,Praia Da Vitoria,PT,2022-07-22 03:18:04,38.7333,-27.0667,70.75,94,0,1.86,clear sky
64,Atuona,PF,2022-07-22 03:18:05,-9.8,-139.0333,77.38,70,2,15.37,clear sky
65,Tanout,NE,2022-07-22 03:18:05,14.9709,8.8879,84.85,45,84,6.42,broken clouds
66,Viedma,AR,2022-07-22 03:18:06,-40.8135,-62.9967,47.35,53,100,14.76,overcast clouds
67,Tutoia,BR,2022-07-22 03:18:06,-2.7619,-42.2744,78.22,79,30,4.9,scattered clouds
68,Lata,PT,2022-07-22 03:18:07,40.1629,-8.3327,57.38,93,54,0.67,broken clouds
69,Esna,EG,2022-07-22 03:18:07,25.2934,32.554,82.38,28,4,14.34,clear sky
70,Yanam,IN,2022-07-22 03:18:07,16.7333,82.2167,84.38,71,100,7.02,overcast clouds
71,Punta Arenas,CL,2022-07-22 03:15:08,-53.15,-70.9167,32.11,86,20,16.11,few clouds
72,Ponta Delgada,PT,2022-07-22 03:18:08,37.7333,-25.6667,69.49,88,20,3.44,few clouds
73,Manokwari,ID,2022-07-22 03:18:08,-0.8667,134.0833,80.53,80,100,8.39,overcast clouds
74,Georgetown,MY,2022-07-22 03:18:09,5.4112,100.3354,89.55,70,20,4.61,few clouds
75,Carnarvon,AU,2022-07-22 03:18:09,-24.8667,113.6333,65.82,53,0,19.42,clear sky
76,Innisfail,AU,2022-07-22 03:18:10,-17.5333,146.0333,70.83,72,61,8.99,broken clouds
77,Lazaro Cardenas,MX,2022-07-22 03:18:10,17.9583,-102.2,81.9,83,89,1.72,overcast clouds
78,Musoma,TZ,2022-07-22 03:18:11,-1.5,33.8,67.24,59,59,11.56,broken clouds
79,Meulaboh,ID,2022-07-22 03:18:11,4.1363,96.1285,84.88,64,61,3.13,broken clouds
80,Maxixe,MZ,2022-07-22 03:18:12,-23.8597,35.3472,64.99,88,5,1.63,clear sky
81,Upernavik,GL,2022-07-22 03:18:12,72.7868,-56.1549,44.04,96,100,23.96,light rain
82,Athens,GR,2022-07-22 03:14:46,37.9795,23.7162,82.26,38,0,3.0,clear sky
83,Vila Franca Do Campo,PT,2022-07-22 03:18:13,37.7167,-25.4333,69.19,84,57,2.28,broken clouds
84,Dunedin,NZ,2022-07-22 03:18:13,-45.8742,170.5036,46.8,72,100,3.0,overcast clouds
85,Coruripe,BR,2022-07-22 03:18:07,-10.1256,-36.1756,72.07,88,73,7.83,broken clouds
86,Berlevag,NO,2022-07-22 03:18:14,70.8578,29.0864,55.2,87,100,19.57,overcast clouds
87,Port Lincoln,AU,2022-07-22 03:15:48,-34.7333,135.8667,59.54,58,100,18.05,overcast clouds
88,Sao Filipe,CV,2022-07-22 03:18:14,14.8961,-24.4956,74.1,88,85,5.59,overcast clouds
89,Dikson,RU,2022-07-22 03:18:15,73.5069,80.5464,48.61,84,38,12.3,scattered clouds
90,Torbay,CA,2022-07-22 03:18:15,47.6666,-52.7314,61.57,86,75,2.3,broken clouds
91,Tasiilaq,GL,2022-07-22 03:18:15,65.6145,-37.6368,33.96,83,81,0.69,broken clouds
92,Khatanga,RU,2022-07-22 03:18:16,71.9667,102.5,60.76,58,98,10.04,overcast clouds
93,Thompson,CA,2022-07-22 03:15:53,55.7435,-97.8558,60.96,94,100,4.61,overcast clouds
94,Saint-Pierre,RE,2022-07-22 03:18:16,-21.3393,55.4781,65.88,62,0,8.05,clear sky
95,Margate,GB,2022-07-22 03:18:17,51.3813,1.3862,63.3,79,30,3.0,scattered clouds
96,Gobabis,NA,2022-07-22 03:18:17,-22.45,18.9667,49.87,54,1,10.47,clear sky
97,Tual,ID,2022-07-22 03:18:18,-5.6667,132.75,78.82,70,39,18.99,scattered clouds
98,Nanortalik,GL,2022-07-22 03:18:18,60.1432,-45.2371,48.31,81,4,3.78,clear sky
99,Jaleswar,NP,2022-07-22 03:18:18,26.6471,85.8008,82.26,79,100,10.29,light rain
100,Akdepe,TM,2022-07-22 03:18:19,42.0551,59.3788,93.29,17,0,7.27,clear sky
101,Kitimat,CA,2022-07-22 03:18:19,54.0524,-128.6534,71.98,59,44,1.99,scattered clouds
