City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Dicabisagan,PH,88.41,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
4,Black River,JM,79.57,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
7,Hithadhoo,MV,77.94,light rain,-0.6,73.0833,Scoop Guest House
9,Verkh-Usugli,RU,79.38,broken clouds,52.7,115.1667,"Gostinitsa ""Sever"""
10,Seoul,KR,83.77,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
11,Kijang,KR,87.53,scattered clouds,35.2442,129.2139,Samyang Beach Villa
17,Katsuura,JP,82.42,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
18,Kualakapuas,ID,86.52,overcast clouds,-3.0091,114.3876,Guest House Izonk
19,Faanui,PF,77.34,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Neiafu,TO,77.18,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
23,Hamilton,US,78.75,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
27,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
30,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
31,Bethel,US,80.06,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
32,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
37,Kailua,US,87.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
40,Hambantota,LK,80.92,overcast clouds,6.1241,81.1185,Bungalow 63
41,Amga,RU,82.2,scattered clouds,60.8953,131.9608,Algys
48,Limbang,MY,89.71,overcast clouds,4.75,115.0,Purnama Hotel
50,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
52,Kirakira,SB,84.31,overcast clouds,-10.4544,161.9205,SanBiz Lodge
57,Bilma,NE,88.38,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
58,Westport,US,85.08,clear sky,41.1415,-73.3579,The Westport Inn
62,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
64,Atuona,PF,77.38,clear sky,-9.8,-139.0333,Villa Enata
67,Tutoia,BR,78.22,scattered clouds,-2.7619,-42.2744,Pousada Guará's
69,Esna,EG,82.38,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
70,Yanam,IN,84.38,overcast clouds,16.7333,82.2167,The Regency Hotel
